wage_to,employer,employee
30.00,0.05,0.05
50.00,0.10,0.10
70.00,0.15,0.15
100.00,0.20,0.20
140.00,0.25,0.25
200.00,0.35,0.35
300.00,0.50,0.50
400.00,0.70,0.70
500.00,0.90,0.90
600.00,1.10,1.10
700.00,1.30,1.30
800.00,1.50,1.50
900.00,1.70,1.70
1000.00,1.90,1.90
1100.00,2.10,2.10
1200.00,2.30,2.30
1300.00,2.50,2.50
1400.00,2.70,2.70
1500.00,2.90,2.90
1600.00,3.10,3.10
1700.00,3.30,3.30
1800.00,3.50,3.50
1900.00,3.70,3.70
2000.00,3.90,3.90
2100.00,4.10,4.10
2200.00,4.30,4.30
2300.00,4.50,4.50
2400.00,4.70,4.70
2500.00,4.90,4.90
2600.00,5.10,5.10
2700.00,5.30,5.30
2800.00,5.50,5.50
2900.00,5.70,5.70
3000.00,5.90,5.90
3100.00,6.10,6.10
3200.00,6.30,6.30
3300.00,6.50,6.50
3400.00,6.70,6.70
3500.00,6.90,6.90
3600.00,7.10,7.10
3700.00,7.30,7.30
3800.00,7.50,7.50
3900.00,7.70,7.70
4000.00,7.90,7.90
4100.00,8.10,8.10
4200.00,8.30,8.30
4300.00,8.50,8.50
4400.00,8.70,8.70
4500.00,8.90,8.90
4600.00,9.10,9.10
4700.00,9.30,9.30
4800.00,9.50,9.50
4900.00,9.70,9.70
5000.00,9.90,9.90
5100.00,10.10,10.10
5200.00,10.30,10.30
5300.00,10.50,10.50
5400.00,10.70,10.70
5500.00,10.90,10.90
5600.00,11.10,11.10
5700.00,11.30,11.30
5800.00,11.50,11.50
5900.00,11.70,11.70
6000.00,11.90,11.90
,11.90,11.90
