wage_to,cat1_employer,cat1_invalidity,cat1_skbbk,cat2_employer,cat2_skbbk
30.00,0.40,0.10,0.20,0.30,0.20
50.00,0.70,0.20,0.30,0.50,0.30
70.00,1.10,0.30,0.50,0.80,0.50
100.00,1.50,0.40,0.65,1.10,0.65
140.00,2.10,0.60,0.90,1.50,0.90
200.00,2.95,0.85,1.25,2.10,1.25
300.00,4.35,1.25,1.85,3.10,1.85
400.00,6.15,1.75,2.65,4.40,2.65
500.00,7.85,2.25,3.35,5.60,3.35
600.00,9.65,2.75,4.15,6.90,4.15
700.00,11.35,3.25,4.85,8.10,4.85
800.00,13.15,3.75,5.65,9.40,5.65
900.00,14.85,4.25,6.35,10.60,6.35
1000.00,16.65,4.75,7.15,11.90,7.15
1100.00,18.35,5.25,7.85,13.10,7.85
1200.00,20.15,5.75,8.65,14.40,8.65
1300.00,21.85,6.25,9.35,15.60,9.35
1400.00,23.65,6.75,10.15,16.90,10.15
1500.00,25.35,7.25,10.85,18.10,10.85
1600.00,27.15,7.75,11.65,19.40,11.65
1700.00,28.85,8.25,12.35,20.60,12.35
1800.00,30.65,8.75,13.15,21.90,13.15
1900.00,32.35,9.25,13.85,23.10,13.85
2000.00,34.15,9.75,14.65,24.40,14.65
2100.00,35.85,10.25,15.35,25.60,15.35
2200.00,37.65,10.75,16.15,26.90,16.15
2300.00,39.35,11.25,16.85,28.10,16.85
2400.00,41.15,11.75,17.65,29.40,17.65
2500.00,42.85,12.25,18.35,30.60,18.35
2600.00,44.65,12.75,19.15,31.90,19.15
2700.00,46.35,13.25,19.85,33.10,19.85
2800.00,48.15,13.75,20.65,34.40,20.65
2900.00,49.85,14.25,21.35,35.60,21.35
3000.00,51.65,14.75,22.15,36.90,22.15
3100.00,53.35,15.25,22.85,38.10,22.85
3200.00,55.15,15.75,23.65,39.40,23.65
3300.00,56.85,16.25,24.35,40.60,24.35
3400.00,58.65,16.75,25.15,41.90,25.15
3500.00,60.35,17.25,25.85,43.10,25.85
3600.00,62.15,17.75,26.65,44.40,26.65
3700.00,63.85,18.25,27.35,45.60,27.35
3800.00,65.65,18.75,28.15,46.90,28.15
3900.00,67.35,19.25,28.85,48.10,28.85
4000.00,69.15,19.75,29.65,49.40,29.65
4100.00,70.85,20.25,30.35,50.60,30.35
4200.00,72.65,20.75,31.15,51.90,31.15
4300.00,74.35,21.25,31.85,53.10,31.85
4400.00,76.15,21.75,32.65,54.40,32.65
4500.00,77.85,22.25,33.35,55.60,33.35
4600.00,79.65,22.75,34.15,56.90,34.15
4700.00,81.35,23.25,34.85,58.10,34.85
4800.00,83.15,23.75,35.65,59.40,35.65
4900.00,84.85,24.25,36.35,60.60,36.35
5000.00,86.65,24.75,37.15,61.90,37.15
5100.00,88.35,25.25,37.85,63.10,37.85
5200.00,90.15,25.75,38.65,64.40,38.65
5300.00,91.85,26.25,39.35,65.60,39.35
5400.00,93.65,26.75,40.15,66.90,40.15
5500.00,95.35,27.25,40.85,68.10,40.85
5600.00,97.15,27.75,41.65,69.40,41.65
5700.00,98.85,28.25,42.35,70.60,42.35
5800.00,100.65,28.75,43.15,71.90,43.15
5900.00,102.35,29.25,43.85,73.10,43.85
6000.00,104.15,29.75,44.65,74.40,44.65
,104.15,29.75,44.65,74.40,44.65
